Designator,Mid X,Mid Y,Rotation,Layer
C1,142.75,-88.75,0.0,top
C10,130.75,-126.0,270.0,top
C11,113.5,-108.75,0.0,top
C12,106.0,-87.176933,180.0,top
C13,105.75,-83.75,180.0,top
C17,161.8,-98.0,180.0,top
C18,162.8,-104.0375,270.0,top
C19,107.5,-136.25,270.0,top
C2,149.25,-85.132908,0.0,top
C3,149.2125,-83.007908,0.0,top
C4,144.0,-119.75,270.0,top
C5,121.5,-111.5,90.0,top
C6,114.25,-85.25,270.0,top
C7,120.0,-126.75,0.0,top
C8,124.25,-111.5,90.0,top
C9,135.25,-109.0,90.0,top
D1,154.125,-77.125,180.0,top
D10,139.0,-134.25,270.0,top
D11,116.25,-112.25,180.0,top
D12,161.3,-86.0,0.0,top
D13,161.8,-100.75,0.0,top
D14,169.3,-97.885,0.0,top
D15,175.8,-97.0,90.0,top
D2,150.125,-77.125,180.0,top
D3,149.2,-80.0,180.0,top
D4,145.625,-77.125,0.0,top
D5,142.075,-77.125,0.0,top
D6,170.125,-123.25,180.0,top
D7,170.125,-120.75,180.0,top
D8,170.125,-118.25,180.0,top
D9,170.125,-115.75,180.0,top
F1,162.8,-92.5,270.0,top
J1,146.75,-68.375,180.0,top
J2,151.25,-141.75,180.0,top
J3,167.745,-129.495,0.0,top
J4,102.725,-125.0,90.0,top
J5,100.25,-106.25,270.0,top
J6,170.9,-69.7,180.0,bottom
J7,152.23,-94.42,180.0,top
J8,158.98,-120.29,180.0,top
J9,152.6075,-105.75,90.0,top
Q1,136.5,-121.0,270.0,bottom
R1,134.0,-87.75,90.0,top
R10,166.25,-120.75,0.0,top
R11,166.25,-118.25,0.0,top
R12,142.0,-115.75,0.0,top
R13,166.25,-115.75,0.0,top
R14,138.0,-115.75,180.0,top
R15,133.75,-118.25,90.0,top
R16,111.5,-124.0,90.0,top
R17,111.75,-85.25,270.0,top
R18,121.0,-123.75,90.0,top
R19,109.5,-102.0,180.0,top
R2,137.66,-88.75,180.0,top
R20,141.0,-134.25,90.0,top
R21,137.861809,-129.422362,90.0,top
R22,141.0,-128.5,0.0,top
R23,109.5,-110.75,0.0,top
R24,126.1125,-73.7,0.0,top
R25,126.1125,-72.05,0.0,top
R26,159.3,-103.0,0.0,top
R27,126.25,-78.5,180.0,top
R3,155.25,-80.4875,270.0,top
R4,153.125,-80.625,270.0,top
R5,145.5,-79.75,180.0,top
R6,141.5,-79.75,180.0,top
R7,136.125,-68.125,90.0,top
R8,157.75,-68.0,90.0,top
R9,166.25,-123.25,0.0,top
SW1,122.75,-134.0,90.0,top
SW2,131.25,-134.0,90.0,top
SW3,169.0,-82.5,180.0,bottom
SW4,114.0,-134.0,270.0,top
U1,140.265,-92.75,0.0,top
U2,140.326,-119.5,270.0,bottom
U3,113.0,-105.75,0.0,top
U4,129.75,-110.25,0.0,top
U5,110.0,-71.5,90.0,top
